HID,M1,M2,HHID,PID,N1,HPID,PIDWON,CH1,CH2_Y,CH2_M,CH2_1,CH3_Y,CH3_M,CH3_1,CH4_Y,CH4_M,CH4_1,CH5_Y,CH5_M,CH6_Y,CH6_M
112089.0,1.0,1.0,112089011.0,1.0,1.0,11208901101.0,11208901.0,0.0,,,,,,,,,,,,,
112090.0,1.0,1.0,112090011.0,1.0,1.0,11209001101.0,11209001.0,0.0,,,,,,,,,,,,,
112091.0,1.0,1.0,112091011.0,1.0,1.0,11209101101.0,11209101.0,0.0,,,,,,,,,,,,,
112092.0,1.0,1.0,112092011.0,1.0,1.0,11209201101.0,11209201.0,0.0,,,,,,,,,,,,,
112093.0,1.0,1.0,112093011.0,2.0,1.0,11209301102.0,11209302.0,0.0,,,,,,,,,,,,,
112094.0,1.0,1.0,112094011.0,1.0,1.0,11209401101.0,11209401.0,0.0,,,,,,,,,,,,,
112094.0,2.0,1.0,112094021.0,2.0,1.0,11209402102.0,11209402.0,0.0,,,,,,,,,,,,,
112095.0,1.0,1.0,112095011.0,1.0,1.0,11209501101.0,11209501.0,0.0,,,,,,,,,,,,,
112096.0,1.0,1.0,112096011.0,1.0,1.0,11209601101.0,11209601.0,0.0,,,,,,,,,,,,,
112096.0,1.0,1.0,112096011.0,2.0,1.0,11209601102.0,11209602.0,0.0,,,,,,,,,,,,,
112097.0,1.0,1.0,112097011.0,1.0,1.0,11209701101.0,11209701.0,0.0,,,,,,,,,,,,,
112097.0,1.0,1.0,112097011.0,2.0,1.0,11209701102.0,11209702.0,0.0,,,,,,,,,,,,,
112100.0,1.0,1.0,112100011.0,1.0,1.0,11210001101.0,11210001.0,0.0,,,,,,,,,,,,,
112101.0,1.0,1.0,112101011.0,1.0,1.0,11210101101.0,11210101.0,0.0,,,,,,,,,,,,,
112101.0,1.0,1.0,112101011.0,2.0,1.0,11210101102.0,11210102.0,0.0,,,,,,,,,,,,,
112102.0,1.0,1.0,112102011.0,1.0,1.0,11210201101.0,11210201.0,0.0,,,,,,,,,,,,,
112102.0,1.0,1.0,112102011.0,2.0,1.0,11210201102.0,11210202.0,0.0,,,,,,,,,,,,,
112103.0,1.0,1.0,112103011.0,1.0,1.0,11210301101.0,11210301.0,0.0,,,,,,,,,,,,,
112104.0,1.0,1.0,112104011.0,1.0,1.0,11210401101.0,11210401.0,0.0,,,,,,,,,,,,,
112104.0,1.0,1.0,112104011.0,2.0,1.0,11210401102.0,11210402.0,0.0,,,,,,,,,,,,,
112105.0,1.0,1.0,112105011.0,1.0,1.0,11210501101.0,11210501.0,0.0,,,,,,,,,,,,,
112106.0,1.0,1.0,112106011.0,1.0,1.0,11210601101.0,11210601.0,0.0,,,,,,,,,,,,,
112107.0,1.0,1.0,112107011.0,1.0,1.0,11210701101.0,11210701.0,0.0,,,,,,,,,,,,,
112107.0,1.0,1.0,112107011.0,2.0,1.0,11210701102.0,11210702.0,0.0,,,,,,,,,,,,,
112108.0,1.0,1.0,112108011.0,1.0,1.0,11210801101.0,11210801.0,0.0,,,,,,,,,,,,,
112108.0,1.0,1.0,112108011.0,2.0,1.0,11210801102.0,11210802.0,0.0,,,,,,,,,,,,,
112108.0,2.0,1.0,112108021.0,4.0,1.0,11210802104.0,11210804.0,0.0,,,,,,,,,,,,,
112108.0,2.0,1.0,112108021.0,5.0,2.0,11210802105.0,11210805.0,0.0,,,,,,,,,,,,,
112109.0,1.0,1.0,112109011.0,1.0,1.0,11210901101.0,11210901.0,0.0,,,,,,,,,,,,,
112109.0,2.0,1.0,112109021.0,2.0,1.0,11210902102.0,11210902.0,0.0,,,,,,,,,,,,,
112109.0,2.0,1.0,112109021.0,3.0,1.0,11210902103.0,11210903.0,0.0,,,,,,,,,,,,,
112110.0,1.0,1.0,112110011.0,1.0,1.0,11211001101.0,11211001.0,0.0,,,,,,,,,,,,,
112111.0,1.0,1.0,112111011.0,1.0,1.0,11211101101.0,11211101.0,0.0,,,,,,,,,,,,,
112112.0,3.0,1.0,112112031.0,1.0,1.0,11211203101.0,11211201.0,0.0,,,,,,,,,,,,,
112112.0,1.0,1.0,112112011.0,2.0,1.0,11211201102.0,11211202.0,0.0,,,,,,,,,,,,,
112112.0,3.0,1.0,112112031.0,3.0,3.0,11211203103.0,11211203.0,11.0,2021.0,5.0,3.0,,,,,,,,,,
112112.0,3.0,1.0,112112031.0,4.0,3.0,11211203104.0,11211204.0,11.0,2021.0,5.0,3.0,,,,,,,,,,
112112.0,3.0,1.0,112112031.0,5.0,3.0,11211203105.0,11211205.0,11.0,2021.0,5.0,3.0,,,,,,,,,,
112112.0,3.0,1.0,112112031.0,6.0,3.0,11211203106.0,11211206.0,11.0,2021.0,5.0,3.0,,,,,,,,,,
112112.0,3.0,1.0,112112031.0,7.0,3.0,11211203107.0,11211207.0,11.0,2021.0,5.0,3.0,,,,,,,,,,
112113.0,1.0,1.0,112113011.0,1.0,1.0,11211301101.0,11211301.0,0.0,,,,,,,,,,,,,
112113.0,1.0,1.0,112113011.0,2.0,1.0,11211301102.0,11211302.0,0.0,,,,,,,,,,,,,
112114.0,1.0,1.0,112114011.0,1.0,1.0,11211401101.0,11211401.0,0.0,,,,,,,,,,,,,
112114.0,1.0,1.0,112114011.0,2.0,1.0,11211401102.0,11211402.0,0.0,,,,,,,,,,,,,
112115.0,1.0,1.0,112115011.0,1.0,1.0,11211501101.0,11211501.0,0.0,,,,,,,,,,,,,
112115.0,1.0,1.0,112115011.0,2.0,1.0,11211501102.0,11211502.0,0.0,,,,,,,,,,,,,
112117.0,1.0,1.0,112117011.0,1.0,1.0,11211701101.0,11211701.0,0.0,,,,,,,,,,,,,
112145.0,1.0,1.0,112145011.0,1.0,1.0,11214501101.0,11214501.0,0.0,,,,,,,,,,,,,
112146.0,1.0,1.0,112146011.0,1.0,1.0,11214601101.0,11214601.0,0.0,,,,,,,,,,,,,
112146.0,1.0,1.0,112146011.0,2.0,1.0,11214601102.0,11214602.0,0.0,,,,,,,,,,,,,
112147.0,1.0,1.0,112147011.0,1.0,1.0,11214701101.0,11214701.0,0.0,,,,,,,,,,,,,
112147.0,1.0,1.0,112147011.0,2.0,1.0,11214701102.0,11214702.0,0.0,,,,,,,,,,,,,
112154.0,1.0,1.0,112154011.0,1.0,1.0,11215401101.0,11215401.0,0.0,,,,,,,,,,,,,
